keywords,siglaTipo,sexo
 critério,PL,masculino
 cobrança,PL,masculino
 estacionamento privado,PL,masculino
 gratuidade,PL,masculino
 idoso,PL,masculino
 pessoa com deficiência.,PL,masculino
Alteração,PL,masculino
 Lei Federal,PL,masculino
  valor fixo,PL,masculino
 Cota de isenção da bagagem acompanhada,PL,masculino
 Loja Franca,PL,masculino
 aeroporto,PL,masculino
 porto,PL,masculino
 fronteira terrestre.,PL,masculino
Alteração,PL,masculino
 Decreto-lei,PL,masculino
 critério,PL,masculino
 pagamento,PL,masculino
 imposto de importação,PL,masculino
 mercadoria,PL,masculino
 viajante,PL,masculino
 Loja Franca.,PL,masculino
Alteração,PL,feminino
 Decreto-lei,PL,feminino
 isenção,PL,feminino
 Imposto sobre produtos industrializados (IPI),PL,feminino
 aquisição,PL,feminino
 Painel solar fotovoltaico,PL,feminino
 escola pública,PL,feminino
 instituição de ensino particular,PL,feminino
Alteração,PL,feminino
 Legislação Tributária Federal,PL,feminino
 isenção,PL,feminino
 Imposto sobre a Renda da Pessoa Física (IRPF),PL,feminino
 paciente,PL,feminino
 Doença mieloproliferativa.,PL,feminino
Alteração,PL,masculino
 Lei de Isenção do IPI para Compra de Automóveis,PL,masculino
 critério,PL,masculino
 isenção tributária,PL,masculino
 Imposto sobre produtos industrializados (IPI),PL,masculino
 aquisição,PL,masculino
 automóvel,PL,masculino
 inclusão,PL,masculino
 pessoa,PL,masculino
 Síndrome de Down,PL,masculino
 deficiência sensorial.,PL,masculino
Alteração,PL,masculino
 Código Tributário Nacional,PL,masculino
 critério,PL,masculino
 destinação,PL,masculino
 recursos,PL,masculino
 multa,PL,masculino
 exercício,PL,masculino
 poder de polícia.,PL,masculino
Alteração,PL,masculino
 Estatuto da OAB,PL,masculino
 inscrição,PL,masculino
 advogado,PL,masculino
 Conselho Seccional da Ordem dos Advogados do Brasil,PL,masculino
  Sociedade simples,PL,masculino
 Sociedade unipessoal,PL,masculino
 Ordem dos Advogados do Brasil (OAB),PL,masculino
 equiparação,PL,masculino
 autarquia,PL,masculino
 prestação de contas.,PL,masculino
Alteração,PL,masculino
 Código Penal,PL,masculino
 Crime praticado por particular contra a administração em geral,PL,masculino
 Desobediência (crime),PL,masculino
 retirada,PL,masculino
 violação,PL,masculino
 dano,PL,masculino
 Tornozeleira eletrônica,PL,masculino
 Monitoração eletrônica.,PL,masculino
Alteração,PL,masculino
 Lei de Execução Penal,PL,masculino
 ressarcimento,PL,masculino
 Preso condenado,PL,masculino
 Preso provisório,PL,masculino
 gasto,PL,masculino
 munição,PL,masculino
 Reparação do dano,PL,masculino
 Veículo de segurança pública,PL,masculino
 utilização,PL,masculino
 operação policial.,PL,masculino
Criação,PL,masculino
 Dia Nacional de Combate à Corrupção,PL,masculino
 comemoração,PL,masculino
 dezembro,PL,masculino
 Administração pública.,PL,masculino
Denominação,PL,masculino
 Terminal fluvial,PL,masculino
 Novo Airão (AM),PL,masculino
 Amazonas,PL,masculino
 político,PL,masculino
 homenagem póstuma,PL,masculino
