keywords,sexo,n
carga.,masculino,1
cargo (direito do trabalho),masculino,1
Cargo (direito do trabalho),masculino,1
cargo (direito do trabalho).,masculino,1
Cargo de Direção e Assessoramento Superior (DAS),masculino,1
cargo eletivo,masculino,1
cargo público,masculino,4
Carmópolis de Minas (MG),masculino,1
carreira do Cargo Técnico-Administrativo em Educação.,feminino,1
cartão de crédito,masculino,2
cartão de débito,masculino,2
cartão de débito.,masculino,1
cartão reforma,masculino,1
cartaz,masculino,1
Carteira de Identidade (CI),masculino,1
Carteira de identidade profissional,masculino,1
Carteira de Identificação da Pessoa com Transtorno do Espectro Autista,feminino,1
Carteira Nacional de Habilitação (CNH),masculino,11
Carteira Nacional de Habilitação (CNH).,masculino,3
Carteira Nacional de Identificação da Pessoa com Transtorno do Espectro Autista (CNIPTEA),NA,1
cartel,masculino,1
cartel. _Alteração,masculino,1
cartório,masculino,3
Cartório de registro de imóveis.,masculino,1
Casa da Moeda do Brasil (CMB).,feminino,1
casa do albergado,NA,1
casa noturna,masculino,1
casado,masculino,1
casamento civil.,masculino,1
casamento.,masculino,1
castração química,masculino,1
Catador de material reciclável,NA,1
categoria de habilitação,masculino,2
categoria de habilitação.,masculino,1
Categoria Estudantil de Base,masculino,1
categoria profissional.,masculino,1
causa impeditiva da prescrição,masculino,11
causa impeditiva da prescrição.,masculino,1
Ceará,masculino,2
Ceará.,masculino,3
cebola,masculino,1
Cédula de Crédito Rural,masculino,1
Cédula Rural Pignoratícia.   _Revogação,masculino,1
cegueira.,NA,1
cena do crime agravação penal,masculino,1
central de atendimento,masculino,1
Central de Atendimento à Mulher,feminino,1
Central de Custódia e Liquidação Financeira de Títulos (CETIP),masculino,1
central telefônica,feminino,1
central telefônica,masculino,1
Centro de Formação de Condutores (CFC),masculino,1
Centro de Formação de Condutores (CFC).,masculino,1
Centro Federal de Educação Tecnológica de Minas Gerais (CEFET-MG).,masculino,1
ceratocone,masculino,1
Cerro Azul (PR),masculino,1
certidão criminal,masculino,1
certidão negativa,masculino,1
certificação,masculino,1
certificação ambiental,masculino,1
certificação de boas práticas,masculino,1
Certificado de Registro e Licenciamento de Veículo (CRLV),masculino,2
cessão,masculino,3
cesta básica,masculino,1
Chefe,masculino,1
chefe de família.,masculino,1
cheque,masculino,1
cheque pré-datado,masculino,1
chip,masculino,1
chocolate,masculino,1
ciclista,masculino,1
ciclomotor,masculino,1
Ciclomotor,masculino,1
ciclomotor.,masculino,1
cidadania,masculino,1
cidadania.,feminino,1
cidadania.,masculino,9
cidadão,masculino,5
cidadão colaborador,masculino,11
cidade de pequeno porte,feminino,1
Ciência e Tecnologia (Instituto Federal),feminino,1
ciencia e tecnologia.,feminino,1
Ciências agrárias,masculino,2
Científica e Tecnológica,masculino,1
ciganos.,masculino,1
cigarro,masculino,1
circulação,masculino,5
circunstância agravante,feminino,1
circunstância agravante,masculino,5
cirurgia,masculino,1
cirurgia bariátrica,feminino,1
cirurgia plástica reparadora,feminino,4
cirurgia plástica reparadora,masculino,2
cirurgia.,masculino,1
civilidade,masculino,1
Classificação,masculino,1
classificação indicativa,masculino,1
cláusula compromissória arbitral,masculino,1
cláusula contratual,masculino,1
Cláusula de desempenho individual,masculino,1
cliente,masculino,1
cliente.,masculino,3
clube esportivo,feminino,1
clube esportivo,masculino,2
cobertor,masculino,1
cobertura,masculino,1
cobertura assistencial,feminino,1
cobertura assistencial,masculino,2
Cobertura assistencial,masculino,1
Cobertura de seguro,masculino,1
cobrador de transporte coletivo.,masculino,1
cobrança,masculino,9
cobrança,NA,1
Código Brasileiro de Aeronáutica,masculino,6
Código Brasileiro de Aeronáutica,NA,1
Código Civil,masculino,2
Código Civil (2002),feminino,1
Código Civil (2002),masculino,16
Código de Defesa do Consumidor,feminino,1
Código de Defesa do Consumidor,masculino,13
Código de Defesa do Consumidor,NA,2
Código de Mineração (1967),feminino,1
Código de Processo Civil (2015),masculino,21
Código de processo Penal,masculino,1
Código de Processo Penal,feminino,2
Código de Processo Penal,masculino,26
Código de Trânsito Brasileiro,feminino,1
Código de Trânsito Brasileiro,masculino,44
Código eleitoral (1965),masculino,1
Código Eleitoral (1965),feminino,2
Código Eleitoral (1965),masculino,16
Código Florestal (2012),masculino,5
Código Militar Penal,masculino,1
Código Penal,feminino,7
Código Penal,masculino,65
Código Penal,NA,2
Código Penal Militar,masculino,3
Código Tributário Nacional,masculino,1
coeficiente,masculino,2
colaboração,masculino,12
Colégio Notarial do Brasil - Conselho Federal (CNB),masculino,1
coleta,masculino,4
coleta seletiva,NA,1
coligação partidária,masculino,2
colônia agrícola,NA,1
colônia industrial,NA,1
Comandante da Aeronáutica,masculino,1
Comandante da Marinha,masculino,1
Comandante do Exército,masculino,1
Comando do Exército (Comex),masculino,1
combate,feminino,3
combate,masculino,11
combível,masculino,1
combustível,masculino,9
combustível aditivado,NA,1
combustível automotivo,NA,1
Combustível automotivo,masculino,1
combustível comum,NA,1
combustível.,masculino,1
comemoração,feminino,5
comemoração,masculino,28
comemoração,NA,1
comercialização,feminino,2
comercialização,masculino,19
Comercialização,feminino,2
